frame,area,num_vertices
0,1472.0,11
1,3288.0,15
2,4941.5,9
3,6504.5,9
4,7752.0,11
5,8605.0,10
6,9726.0,9
7,11829.5,9
8,13729.0,10
9,16975.5,16
10,19835.0,10
11,22711.0,12
12,24940.5,11
13,28280.0,11
14,31520.5,12
15,36199.5,14
16,39508.0,13
17,45717.0,12
18,52080.0,13
19,55509.5,16
20,57757.0,18
21,57412.0,16
22,58416.5,17
23,56899.0,18
24,56068.0,17
25,54702.5,15
26,53822.5,15
27,53599.0,17
28,53386.0,16
29,52071.0,15
30,52746.5,14
31,51113.5,13
32,49251.5,13
33,48494.5,14
34,47074.5,16
35,47068.5,18
36,46309.0,17
37,45426.5,16
38,44098.5,20
39,43895.0,18
40,42629.5,19
41,42411.0,22
42,42112.5,22
43,41512.5,14
44,42455.0,20
45,42020.0,20
46,43059.0,17
47,41939.5,15
48,43217.5,18
49,43243.0,14
50,44620.5,18
51,45120.5,16
52,44958.0,13
53,46183.5,14
54,47049.5,16
55,48168.5,15
56,47660.5,15
57,48460.0,17
58,48016.0,15
59,47686.5,15
60,48255.0,17
61,48976.5,19
62,48293.0,17
63,49806.0,19
64,49992.5,17
65,49661.0,16
66,49340.5,16
67,48907.5,16
68,49577.5,16
69,48558.5,13
70,49312.0,16
71,49570.5,16
72,50000.5,18
73,49587.5,18
74,49693.0,16
75,50370.5,17
76,49722.0,14
77,49592.5,14
78,50577.5,16
79,51221.5,17
80,50569.0,17
81,50245.0,15
82,50011.0,16
83,50797.5,17
84,50841.5,17
85,50197.5,17
86,49819.0,16
87,50153.0,18
88,49608.5,14
89,50117.0,16
90,49943.5,15
91,49637.5,18
92,49528.0,17
93,49983.0,19
94,50037.5,14
95,49485.0,14
96,50094.5,19
97,49671.5,15
98,50033.0,18
99,49850.5,15
100,50150.5,19
101,49768.0,18
102,49857.5,18
103,50259.0,16
104,49636.5,15
105,49466.5,18
106,48871.5,16
107,49900.5,19
108,50232.0,18
109,48737.0,15
110,49630.5,15
111,49788.5,13
112,50450.5,16
113,49743.0,14
114,49623.0,15
115,49354.5,14
116,49068.5,13
117,48515.0,12
118,49583.0,17
119,49415.0,15
120,49384.5,14
121,49476.0,13
122,50972.0,16
123,49856.5,12
124,50621.5,15
125,50324.5,15
126,50855.5,16
127,49942.0,14
128,49906.0,13
129,49762.0,13
130,49035.5,15
131,49518.5,16
132,48978.0,15
133,49291.0,15
134,48859.0,13
135,48645.5,13
136,48862.5,13
137,49003.5,13
138,49063.0,16
139,48687.5,14
140,49319.5,15
141,49496.0,13
142,49530.5,14
143,49429.5,13
144,50015.0,14
145,50170.0,13
146,50815.0,16
147,50423.0,15
148,51086.5,14
149,50191.0,13
150,51149.5,13
151,52995.0,17
152,51370.5,13
153,53390.0,15
154,54681.5,15
155,55208.5,15
156,55127.5,14
157,56090.0,13
158,56599.0,13
159,55667.0,12
160,57286.0,12
161,57981.5,12
162,58256.0,12
163,60160.0,12
164,61119.0,13
165,61046.0,12
166,62757.0,14
167,63050.5,15
168,63202.0,14
169,63436.0,14
170,63236.0,14
171,62447.0,15
172,61204.5,11
173,61340.5,14
174,60862.5,14
